t_s,T_true,T_meas,T_filt,u_raw,u_final,state
1656,21.552653519154184,22.180316515918715,21.534068240137412,1,1,0
1657,21.580548212115875,21.728639013051385,21.551756492220502,1,1,0
1658,21.608387115691645,22.103839902341349,21.601945893140577,1,1,0
1659,21.636170341460261,21.614955875455983,21.603128618805613,1,1,0
1660,21.663898000777341,21.713059002998754,21.613122290095898,1,1,0
1661,21.691570204775786,16.86795030892138,21.181743019080034,1,1,0
1662,21.719187064366235,21.984425766764939,21.25471417796048,1,1,0
1663,21.746748690237503,21.640792370392813,21.289812195454328,1,1,0
1664,21.774255192857026,21.922159567893644,21.347298320221537,1,1,0
1665,21.801706682471313,22.083332392878624,21.41421050864491,1,1,0
1666,21.829103269106369,22.144713228730339,21.480619846834493,1,1,0
